source,original_id,image_ref,description,tech_id,has_image,Anmerkung
search_angela,manual_357,https://www.ma-shops.de/diller/item.php?id=181121024,Boier Kleinsilber vom Typ Hradiste von Stradonice/Böhmen. F / f. VF | MA-Shops,boier_early_stradonice,True,
search_angela,manual_358,https://www.ma-shops.de/diller/item.php?id=181121024,Boier Kleinsilber vom Typ Hradiste von Stradonice/Böhmen. f. vorzüglich | MA-Shops,boier_early_stradonice,True,
search_angela,manual_360,https://hoehn.bidinside.com/de/lot/63416/boierkleinsilber-vom-typ-hradiste-von-/,BoierKleinsilber vom Typ Hradiste von ... - Auktionen - Höhn - Münzhandlung und Auktionshaus Leipzig,boier_early_stradonice,True,
search_angela,manual_359,https://www.numismatikforum.de/download/file.php?id=162232&sid=d2533f03ec6cfa6ebf3a014e4b161b4b&mode=view,file.php (283×163),boier_early_stradonice,True,
NumisBids,manual_088,https://media.numisbids.com/sales/hosted/gorny/286/image04070.jpg,AR Kleinsilber Typ Stradonice Knollennase 0.47g (Kellner 769 Lot 4070),boier_early_stradonice,True,
Muenzhandlung_Harald_Moeller,manual_118,https://d3lp9lrk02pi7n.cloudfront.net/media/70/lots/325/zoom/00018m00.jpg,"Boier Kleinsilber Typ Stradonice, Paulsen 570, 0.34g, Abbruch",boier_early_stradonice,True,
ma_shops,manual_128,https://img.ma-shops.de/saenn/pic/56887_05491a00_c.jpg,"Boier Obol Typ Stradonice, 0.36g, Paulsen 565-573, Kopf n.l.",boier_early_stradonice,True,
ma_shops,manual_132,https://img.ma-shops.de/diller/pic/200511002bz.jpg,"Boier Kleinsilber Typ Stradonice, 0.33g, Gesicht eingebogen, Paulsen 575 var.",boier_early_stradonice,True,
ma_shops,manual_154,https://img.ma-shops.de/saenn/pic/57761_99943a00_c.jpg,"Boier Obol (Typ Stradonice), 0.30g, stilisierter Kopf/Pferd n.l.",boier_early_stradonice,True,
kuenker,manual_032,https://kuenker.s3.eu-central-1.amazonaws.com/images/auction/00122/06484q00.jpg,AR 1/4 Quinar Boier Stradonice Flesche 440 (dies Exemplar),boier_early_stradonice,True,
kuenker,manual_033,https://kuenker.s3.eu-central-1.amazonaws.com/images/auction/00122/06485q00.jpg,AR 1/4 Quinar Boier Stradonice Flesche 441 (dies Exemplar),boier_early_stradonice,True,
kuenker,manual_034,https://kuenker.s3.eu-central-1.amazonaws.com/images/auction/00122/06486q00.jpg,AR 1/4 Quinar Boier Stradonice Flesche 442 (dies Exemplar),boier_early_stradonice,True,
kuenker,manual_037,https://kuenker.s3.eu-central-1.amazonaws.com/images/auction/00122/06489q00.jpg,AR 1/4 Quinar Boier Stradonice Flesche 445 (dies Exemplar),boier_early_stradonice,True,
coinarchives,2362974,https://media.coinarchives.com/5728cf786785c62ba037f5ebd75fa930/img/macho/033/image00460.jpg,"Moravia, Celts Obol (2nd/1st century BC). StarÃ© Hradisko type (?). Light traces of corrosion. MÃ¤hren, Kelten Obol (2./1. Jh. v. Chr.). Typ StarÃ© Hradisko (?) Kleine Korrosionsspuren. Morava, Kelti Obol (2./1. stol pÅ™. Kr.). Typ StarÃ© Hradisko (?) DrobnÃ© stopy koroze. 0,38 g, 7 mm, Kostur â€“ GÃ¡Å¡pÃ¡r 158 (?), VF / about EF Starting price: 5 EUR...",boier_early_stradonice,True,
coinarchives,2444020,https://media.coinarchives.com/65f30f4cc55fb3fb67f1501af664a63e/img/macho/034/image01007.jpg,"Moravia, Celts. Obol (2nd century BC). StarÃ© Hradisko type. Traces of corrosion. Rare! MÃ¤hren, Kelten. Obol (2. Jh. v. Chr.). Typ StarÃ© Hradisko. Korrosionsspuren. Selten! Morava, Kelti. Obol (2. stol. pÅ™. Kr.). Typ StarÃ© Hradisko. Stopy koroze. VzÃ¡cnÃ½! 0,46 g, 8-9 mm, Ag, about EF / about EF Starting price: 15 EUR...",boier_early_stradonice,True,
coinarchives,manual_016,https://media.coinarchives.com/3d75992ac9e0304c74727a732e0480bd/img/aurea/e59/image04287.jpg,AR Obol Boier Typ Stradonice (Lot 4287),boier_early_stradonice,True,
coinarchives,manual_018,https://media.coinarchives.com/b71b2e2324f84b4eb4bba9cd1c7fc141/img/aurea/e59/image04290.jpg,AR Obol Boier Typ Stradonice Paulsen 584 (Lot 4290),boier_early_stradonice,True,
coinarchives,manual_020,https://media.coinarchives.com/513fd54ae167f2cb4aa45fbfa5c359fa/img/macho/037/image01004.jpg,AR Obol Boier Stradonice Kostur 148 (Lot 1004),boier_early_stradonice,True,
coinarchives,manual_021,https://media.coinarchives.com/b032e5150e136d1db60b823e14fbb256/img/macho/037/image01157.jpg,AR Obol Boier Stradonice/Stare Hradisko (Lot 1157),boier_early_stradonice,True,
coinarchives,manual_025,https://media.coinarchives.com/177bd4878ef017e2253f95b497734998/img/aurea/e57/image00164.jpg,AR Obol Boier Stradonice Kostur 148 (Lot 164),boier_early_stradonice,True,
coinarchives,manual_198,https://www.acsearch.info/search.html?term=Stradonice&category=0&lot=&date_from=&date_to=&images=1&en=1&de=1&fr=1&it=1&es=1&ot=1&currency=usd&order=1,"Boier Obol Stradonice Typ (Staré Hradisko), Lot von 4 Stk, Macho E-Live 37/1158",boier_early_stradonice,True,
coinarchives,manual_199,https://www.acsearch.info/search.html?term=Stradonice&category=0&lot=&date_from=&date_to=&images=1&en=1&de=1&fr=1&it=1&es=1&ot=1&currency=usd&order=1,"Boier Obol Stradonice Typ, 0.42g, 12-13mm, Kostur-Gášpár 148 var, Macho E-Live 37/1004",boier_early_stradonice,True,
coinarchives,manual_200,https://www.acsearch.info/search.html?term=Stradonice&category=0&lot=&date_from=&date_to=&images=1&en=1&de=1&fr=1&it=1&es=1&ot=1&currency=usd&order=1,"Boier Obol Stradonice Typ (Staré Hradisko), 0.47g, olámaný, Macho E-Live 37/1157",boier_early_stradonice,True,
coinarchives,manual_201,https://www.acsearch.info/search.html?term=Stradonice&category=0&lot=&date_from=&date_to=&images=1&en=1&de=1&fr=1&it=1&es=1&ot=1&currency=usd&order=1,"Boier Obol Stradonice Typ, 0.47g, Pferd rechts (!), Ex Rauch 107, Naumann 157/10",boier_early_stradonice,True,
