LotID,Titel,Beschreibung,Auktionsdatum,Detail-Link,Bild-Link
15289,"Gorny & Mosch Giessener Münzhandlung - Auction 108, Lot 1005","KELTEN DEUTSCHLAND No.: 1005 Schätzpreis-Estimation: DM 250,- Vindeliker Kleinsilber, (0,30 g.), nach 100 v.Chr. Typ Manching 2 Vs.: Kopf mit Stachelhaaren, spitzer Nase und Lippenpunkten n. l., darunter Torques. Rs.: Nach links springendes Pferd, darunter Sporn. Kellner 95ff.; 317ff. Slg. Lanz 20f. Tönung, vz ca. € 128,- ...",3 Apr 2001,https://pro.coinarchives.com/a/lotviewer.php?LotID=15289&AucID=14&Lot=1005,https://media.coinarchives.com/74def4301c4e9656fefa2ce7f28d2770/img/gorny/108/image01005.jpg
15290,"Gorny & Mosch Giessener Münzhandlung - Auction 108, Lot 1006","KELTEN DEUTSCHLAND No.: 1006 Schätzpreis-Estimation: DM 200,- Vindeliker Kleinsilber, (0,38 g.), nach 100 v.Chr. Typ Manching 1 Vs.: Kopf mit Stachelhaaren und spitzer Nase in Perlkreis Rs.: Nach links springendes Pferd, darüber drei Punkte, darunter Sporn. Kellner 962. Slg. Lanz - ; Prägeschwäche, vz ca. € 102,- ...",3 Apr 2001,https://pro.coinarchives.com/a/lotviewer.php?LotID=15290&AucID=14&Lot=1006,https://media.coinarchives.com/fdf938e262411b777027229589b4e1f5/img/gorny/108/image01006.jpg
15291,"Gorny & Mosch Giessener Münzhandlung - Auction 108, Lot 1007","KELTEN DEUTSCHLAND No.: 1007 Schätzpreis-Estimation: DM 250,- Vindeliker Kleinsilber, (0,44 g.), nach 100 v.Chr. Typ Manching (Var.) Vs.: Kopf mit gewellten Haaren, spitzer Nase und Lippenpunkten n. l., darunter Torques. Rs.: N. l. springendes Pferd. Kellner 986. R! Dunkle Tönung, vz ca. € 128,- Seltene Variante ohne Sporn! ...",3 Apr 2001,https://pro.coinarchives.com/a/lotviewer.php?LotID=15291&AucID=14&Lot=1007,https://media.coinarchives.com/c73bd79296bbc9bb14a482664667c161/img/gorny/108/image01007.jpg
21895,"Numismatik Lanz München - Auction 102, Lot 13","KELTISCHE MüNZEN GERMANIEN VINDELIKER No.: 13 Schätzpreis-Estimation: DM 350,- Kleinsilber, Sondertyp Manching. Stilisierter Kopf mit spitzer Nase, Punktauge und -lippen links, die Haare in Form eines dreifachen Hörnerpaares mit Scheitelpunkt. Rs: Stilisiertes Pferd mit Punktmähne links, darüber Punktrosette. Vgl. M. Egger, Keltische Münzfunde aus Manching II, BVbl 50 (1985), Taf. 17, 44. Vgl. Kellner, Manching 756. 0,27 g, St. 11. Sehr seltene Variante....",28 May 2001,https://pro.coinarchives.com/a/lotviewer.php?LotID=21895&AucID=24&Lot=13,https://media.coinarchives.com/aa3ec6a25f24c0a56a8149838306dd00/img/lanz/102/image00013.jpg
34140,"Gorny & Mosch Giessener Münzhandlung - Auction 117, Lot 13","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 13 Vindeliker Kleinsilber, (0,51 g.), nach 100 v.Chr. Typ mit Stachelhaaren a Vs.: Kopf mit Stachelhaaren und spitzer Nase in Perlkreis Rs.: Nach links springendes Pferd, darüber fünf Punkte. Kellner 991ff. Slg. Lanz - ; Vs. besonders gut ausgeprägt, schöne Tönung, ssvz Estimation: € 250,00 ...",14 Oct 2002,https://pro.coinarchives.com/a/lotviewer.php?LotID=34140&AucID=38&Lot=13,https://media.coinarchives.com/47e699fdebb9e4c488e3b84bbedb98ba/img/gorny/117/image00013.jpg
55336,"Leu Numismatik AG (1992-2005) - Auction 83, Lot 489","THE CELTS IN CENTRAL EUROPE AND THE BALKANS THE COINAGE OF THE RHINELAND AND SOUTH GERMANY Subsidiary Silver Varieties Estimate: CHF 275.00 The Manching I Type, struck by the Vindelici. Minim (Silver, 0.39g 9), 1st century B.C. Male head to left. Rev. Horse to left, with pellet ornaments above and spur below. Lanz 20 var. Ley (Lanz 70), 237. W. 470 var. Very fine. Ex M&M List 387 (March 1977), 36. ...",6 May 2002,https://pro.coinarchives.com/a/lotviewer.php?LotID=55336&AucID=58&Lot=489,https://media.coinarchives.com/e7c7beea51537e353d900e07f6803a46/img/leu/083/image00489.jpg
55337,"Leu Numismatik AG (1992-2005) - Auction 83, Lot 490","THE CELTS IN CENTRAL EUROPE AND THE BALKANS THE COINAGE OF THE RHINELAND AND SOUTH GERMANY Subsidiary Silver Varieties Estimate: CHF 750.00 Vindelici (?). Minim (Silver, 0.46g 6), 1st century B.C. Male head with prominent, rounded cheek to left. Rev. Horse trotting to left; above, large pellet. Apparently unpublished, and perhaps unique. Remarkably well preserved, and with an amusing head on the obverse. Slightly corroded surfaces, otherwise, extremely fine. Ex Bankhaus Auf...",6 May 2002,https://pro.coinarchives.com/a/lotviewer.php?LotID=55337&AucID=58&Lot=490,https://media.coinarchives.com/817565cf2223e4c702ddbfc448cf7070/img/leu/083/image00490.jpg
59083,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1025","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1025 Vindeliker Kleinsilber, (0,39 g.), nach 100 v.Chr. Typ Manching 2 Vs.: Kopf mit spitzen Haaren und spitzer Nase n. l. Rs.: Nach links springendes Pferd, darunter Sporn, darüber Punkte. Kellner 714ff. Schöne dunkle Tönung, vz Estimation: € 150,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59083&AucID=63&Lot=1025,https://media.coinarchives.com/d8f4715b37c82adc8dfc97ae35715d6f/img/gorny/126/image01025.jpg
59084,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1026","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1026 Vindeliker Kleinsilber, (0,47 g.), nach 100 v.Chr. Typ Manching 2 Vs.: Kopf mit spitzen Haaren und spitzer Nase n. l. Rs.: Nach links springendes Pferd, darunter Sporn, darüber Punkte. Kellner 718ff. Tönung, ss Estimation: € 120,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59084&AucID=63&Lot=1026,https://media.coinarchives.com/5773ba740b74e74fbef33af01893cb65/img/gorny/126/image01026.jpg
59085,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1027","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1027 Vindeliker Kleinsilber, (0,45 g.), nach 100 v.Chr. Typ Manching 2 Vs.: Kopf mit spitzen Haaren und spitzer Nase n. l. Rs.: Nach links springendes Pferd, darunter Winkelspitz, darüber Punkte. Kellner 317ff. Tönung, ssvz Estimation: € 100,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59085&AucID=63&Lot=1027,https://media.coinarchives.com/2d49f26f3bded35a46bac6330a30a0f8/img/gorny/126/image01027.jpg
59086,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1028","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1028 Vindeliker Kleinsilber, (0,43 g.), nach 100 v.Chr. Typ Manching 2 nahestehend Vs.: Kopf mit spitzen Haaren und spitzer Nase n. l. Rs.: Nach links springendes Pferd, darüber fünf Punkte. Kellner 317ff. Zarte Tönung, vz Estimation: € 100,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59086&AucID=63&Lot=1028,https://media.coinarchives.com/d78d1b8c528ef9e6cb33d3b9841d8af2/img/gorny/126/image01028.jpg
59087,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1029","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1029 Vindeliker Kleinsilber, (0,38 g.), nach 100 v.Chr. Typ Manching 2 Vs.: Kopf mit spitzen Haaren und spitzer Nase n. l. Rs.: Nach links springendes Pferd, darunter Winkelspitz, darüber Punkte. Kellner 339ff. Dunkle Tönung, ss Estimation: € 120,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59087&AucID=63&Lot=1029,https://media.coinarchives.com/2befc65598d361be5a8b2194e2f2a01e/img/gorny/126/image01029.jpg
59088,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1030","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1030 Vindeliker Kleinsilber, (0,46 g.), nach 100 v.Chr. Typ mit Stachelhaaren Vs.: Stilisierter Kopf mit spitzer Nase und gebogenen Haarsträhnen mit Kugelenden n. r. Rs.: Nach links springendes Pferd. Darüber fünf Punkte im Kreuz. Kellner 995. R! Hohes Relief, zarte Tönung, vz/ss Estimation: € 150,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59088&AucID=63&Lot=1030,https://media.coinarchives.com/db3af2babe5bfab9fb3f114db68fa9d7/img/gorny/126/image01030.jpg
59089,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1031","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1031 Vindeliker Kleinsilber, (0,44 g.), nach 100 v.Chr. Typ mit Stachelhaaren Vs.: Stilisierter Kopf mit spitzer Nase und gebogenen Haarsträhnen n. l. Rs.: Nach links springendes Pferd. Darüber fünf Punkte. Kellner 992. Dunkle Tönung, vz Estimation: € 200,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59089&AucID=63&Lot=1031,https://media.coinarchives.com/0b71df457c4a03d8629dfdbc5ebce183/img/gorny/126/image01031.jpg
59090,"Gorny & Mosch Giessener Münzhandlung - Auction 126, Lot 1032","KELTEN DEUTSCHLAND SÜDBAYERN Objekt-Nr.: 1032 Vindeliker Kleinsilber, (0,38 g.), nach 100 v.Chr. Typ mit Stachelhaaren Vs.: Stilisierter Kopf mit spitzer Nase und gebogenen Haarsträhnen mit Kugelenden n. l. Rs.: Nach links springendes Pferd. Darüber fünf Punkte im Kreuz. Kellner 753. Hohes Relief, zarte Tönung, vz Estimation: € 100,00 ...",14 Oct 2003,https://pro.coinarchives.com/a/lotviewer.php?LotID=59090&AucID=63&Lot=1032,https://media.coinarchives.com/8456b330fcf29fd9654d982a396ba6f0/img/gorny/126/image01032.jpg
