"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"2250";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Gäubodenmuseum Straubing";"Irlbach 39-15";"0.39";"1.1";""
"2251";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"Gäubodenmuseum Straubing";"Irlbach 39-16";"0.45";"0.9";""
"2252";"Small silver uncertain type";"";"";"";"";"Gäubodenmuseum Straubing";"Irlbach 39-17";"0.37";"0.8";""
"2253";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Gäubodenmuseum Straubing";"Irlbach 39-18";"0.42";"0.8";""
"2254";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Gäubodenmuseum Straubing";"Irlbach 39-19";"0.41";"0.9";""
"2255";"Kopf mit gewellten Haaren";"";"";"";"";"Gäubodenmuseum Straubing";"Irlbach 39-20";"0.44";"0.8";""
"2256";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologisches Museum, Kelheim";"Essing 1";"0.46";"";""
"2257";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologisches Museum, Kelheim";"Essing 2";"0.41";"";""
"2258";"Small silver uncertain type";"";"";"";"";"Archäologisches Museum, Kelheim";"Kelheim 84/15";"0.59";"";""
"2259";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologisches Museum, Kelheim";"Kelheim 18727";"0.4";"";""
"2260";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologisches Museum, Kelheim";"Kelheim B18416";"0.36";"";""
"2260";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologisches Museum, Kelheim";"Kelheim B18416";"0.36";"";""
"4758";"Small silver uncertain type";"";"";"";"";"";"Kellner974 (?)";"";"8.5";""
"4759";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3384";"";"14.9";"Berching-Pollanten"
"4760";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3385";"";"14.5";"Berching-Pollanten"
"4761";"KS 1/8/1 Horse with backward facing head";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3386";"";"9.1";"Berching-Pollanten"
"4762";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3390";"";"8.7";"Berching-Pollanten"
"4763";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3391";"";"8.5";"Berching-Pollanten"
"4764";"Stachelhaar b";"Head to r., short strands of hair with end points";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3393";"";"8.9";"Berching-Pollanten"
"4765";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3394";"";"7.8";"Berching-Pollanten"
